task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,ece_10bin,0.0694516266424986,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,sensitivity,0.9872241579558653,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260816,specificity,0.0705521472392638,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,scaffold,20260816,roc_auc,0.6070763134414527,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,pr_auc,0.9182884402514622,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,balanced_accuracy,0.5295349376301195,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,mcc,0.12818032879857372,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,brier,0.09825297783858543,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,ece_10bin,0.07066827203488274,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,sensitivity,0.9857940131912735,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260816,specificity,0.07327586206896551,2203,2203,132,0,75
T3_pn_clf,record_level_all,scaffold,20260817,roc_auc,0.5879463082933281,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,pr_auc,0.8929072917139803,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,balanced_accuracy,0.5042954589987264,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,mcc,0.028150826731914484,3240,2278,132,0,0
